symbol,listDate,fullname,listed Price,Rate,List Price MNT
AGLD,2021-12-13 20:02:22,Adventure Gold,1.64,2849.36,4672.950
STPT,2021-12-13 20:02:22,STP,0.01,2849.36,28.494
GLM,2021-12-13 20:02:22,Golem,0.0101,2849.36,28.779
RAY,2021-12-13 20:02:22,Raydium,8.01,2849.36,22823.374
NEAR,2021-12-13 20:02:22,NEAR Protocol,0.4,2849.36,1139.744
AUDIO,2021-12-13 20:02:22,Audius,1.42,2849.36,4046.091
HNT,2021-12-13 20:02:22,Helium,26.03,2849.36,74168.841
CDT,2021-12-13 20:02:22,CheckDot,0.07,2849.36,199.455
SPARTA,2021-12-13 20:02:22,Spartan Protocol,0.18,2849.36,512.885
SUSD,2021-12-13 20:02:22,sUSD,1,2849.36,2849.360
FARM,2021-12-13 20:02:22,Harvest Finance,95.28,2849.36,271487.021
AION,2021-12-13 20:02:22,Aion,0.142,2849.36,404.609
DGB,2021-12-13 20:02:22,DigiByte,0.0083,2849.36,23.650
DGD,2021-12-13 20:02:22,DigixDAO,4.2,2849.36,11967.312
ZRX,2021-12-13 20:02:22,0x,0.7686,2849.36,2190.018
BCD,2021-12-13 20:02:22,Bitcoin Diamond,1.23,2849.36,3504.713
EASY,2021-12-13 20:02:22,FULLNAME NOT FOUND,N/A,2849.36,n/a
SANTOS,2021-12-13 20:02:22,Santos FC Fan Token,2.5,2849.36,7123.400
WING,2021-12-13 20:02:22,Wing Finance,15.5,2849.36,44165.080
WNXM,2021-12-13 20:02:22,Wrapped NXM,50.12,2849.36,142809.923
BCH,2021-12-13 20:02:22,Bitcoin Cash,421.6,2849.36,1201290.176
JST,2021-12-13 20:02:22,JUST,0.0026,2849.36,7.408
HOT,2021-12-13 20:02:22,Holo,0.007565,2849.36,21.555
AR,2021-12-13 20:02:22,Arweave,34.81,2849.36,99186.222
IRIS,2021-12-13 20:02:22,IRISnet,0.007875,2849.36,22.439
BCX,2021-12-13 20:02:22,BitcoinX,0.00076,2849.36,2.166
TRIG,2021-12-13 20:02:22,Triggers,N/A,N/A,N/A
RCN,2021-12-13 20:02:22,Ripio Credit Network,0.01098,2849.36,31.286
COVER,2021-12-13 20:02:22,COVER Protocol,N/A,N/A,N/A
FLM,2021-12-13 20:02:22,Flamingo,0.3389,2849.36,965.648
GNO,2021-12-13 20:02:22,Gnosis,365,2849.36,1040016.400
VITE,2021-12-13 20:02:22,VITE,0.7598,2849.36,2164.944
GNT,2021-12-13 20:02:22,GreenTrust,N/A,N/A,N/A
CFX,2021-12-13 20:02:22,Conflux,0.1907,2849.36,543.373
XPR,2021-12-13 20:02:22,Proton,0.015429,2849.36,43.963
SFP,2021-12-13 20:02:22,SafePal,1.7614,2849.36,5018.863
DIA,2021-12-13 20:02:22,DIA,1.184,2849.36,3373.642
RDN,2021-12-13 20:02:22,Raiden Network Token,0.65913,2849.36,1878.099
ACA,2021-12-13 20:02:22,Acala Token,N/A,N/A,N/A
ARDR,2021-12-13 20:02:22,Ardor,0.2167,2849.36,617.456
NEBL,2021-12-13 20:02:22,Neblio,0.9417,2849.36,2683.242
SLPOLD,2021-12-13 20:02:22,FULLNAME NOT FOUND,N/A,N/A,N/A
BEL,2021-12-13 20:02:22,Bella Protocol,1.4,2849.36,3989.104
JUV,2021-12-13 20:02:22,Juventus Fan Token,8.06,2849.36,22965.842
ACM,2021-12-13 20:02:22,AC Milan Fan Token,5.07,2849.36,14446.255
MINA,2021-12-13 20:02:22,Mina,3.15,2849.36,8975.484
VTHO,2021-12-13 20:02:22,VeThor Token,0.0052,2849.36,14.817
SGB,2021-12-13 20:02:22,Songbird,0.2829,2849.36,806.084
SALT,2021-12-13 20:02:22,SALT,0.1298,2849.36,369.847
STORM,2021-12-13 20:02:22,Storm Token,N/A,N/A,N/A
REN,2021-12-13 20:02:22,Ren,0.4763,2849.36,1357.150
REP,2021-12-13 20:02:22,Augur,15.686,2849.36,44695.061
ADA,2021-12-13 20:02:22,Cardano,1.1983,2849.36,3414.388
ELF,2021-12-13 20:02:22,aelf,0.3651,2849.36,1040.301
REQ,2021-12-13 20:02:22,Request,0.4073,2849.36,1160.544
STORJ,2021-12-13 20:02:22,Storj,1.3597,2849.36,3874.275
BZRX,2021-12-13 20:02:22,bZx Protocol,0.3085,2849.36,879.028
ADD,2021-12-13 20:02:22,Add.xyz,0.3348,2849.36,953.966
SGT,2021-12-13 20:02:22,SharedStake,0.07511,2849.36,214.015
DF,2021-12-13 20:02:22,dForce,0.1281,2849.36,365.003
RARE,2021-12-13 20:02:22,SuperRare,1.2222,2849.36,3482.488
PAXG,2021-12-13 20:02:22,PAX Gold,1785.86,2849.36,5088558.050
YOYO,2021-12-13 20:02:22,FULLNAME NOT FOUND,0.01944,2849.36,55.392
PAX,2021-12-13 20:02:22,FULLNAME NOT FOUND,1,2849.36,2849.360
CHR,2021-12-13 20:02:22,Chromia,0.6201,2849.36,1766.888
WAVES,2021-12-13 20:02:22,Waves,16.62,2849.36,47356.363
CHZ,2021-12-13 20:02:22,Chiliz,26.96,2849.36,76818.746
ADX,2021-12-13 20:02:22,Ambire AdEx,0.5307,2849.36,1512.155
XRP,2021-12-13 20:02:22,XRP,0.7828,2849.36,2230.479
WPR,2021-12-13 20:02:22,WePower,0.00317,2849.36,9.032
JASMY,2021-12-13 20:02:22,JasmyCoin,0.09829,2849.36,280.064
FIDA,2021-12-13 20:02:22,Bonfida,6.7779,2849.36,19312.677
SAND,2021-12-13 20:02:22,The Sandbox,5.4678,2849.36,15579.731
OCEAN,2021-12-13 20:02:22,Ocean Protocol,0.872,2849.36,2484.642
FOR,2021-12-13 20:02:22,ForTube,0.06294,2849.36,179.339
UMA,2021-12-13 20:02:22,UMA,10.07,2849.36,28693.055
DREPOLD,2021-12-13 20:02:22,FULLNAME NOT FOUND,n/a,N/A,N/A
SCRT,2021-12-13 20:02:22,Secret,4.4931,2849.36,12802.459
TUSD,2021-12-13 20:02:22,TrueUSD,1,2849.36,2849.360
EZ,2021-12-13 20:02:22,EasyFi,3.3357,2849.36,9504.610
WABI,2021-12-13 20:02:22,Wabi,0.1966,2849.36,560.184
RGT,2021-12-13 20:02:22,Rari Governance Token,21.67,2849.36,61745.631
IDRT,2021-12-13 20:02:22,Rupiah Token,0.00006934,2849.36,0.198
ENJ,2021-12-13 20:02:22,Enjin Coin,2.3243,2849.36,6622.767
YFII,2021-12-13 20:02:22,DFI.Money,2658.03,2849.36,7573684.361
OAX,2021-12-13 20:02:22,OAX,0.183,2849.36,521.433
GRT,2021-12-13 20:02:22,The Graph,0.6857,2849.36,1953.806
GRS,2021-12-13 20:02:22,Groestlcoin,0.6882,2849.36,1960.930
UND,2021-12-13 20:02:22,Unbound Dollar,N/A,N/A,N/A
HARD,2021-12-13 20:02:22,Kava Lend,0.6982,2849.36,1989.423
TFUEL,2021-12-13 20:02:22,Theta Fuel,0.2321,2849.36,661.336
ENS,2021-12-13 20:02:22,Ethereum Name Service,47.46,2849.36,135230.626
LEND,2021-12-13 20:02:22,Aave [old],180.09,2849.36,513141.242
DLT,2021-12-13 20:02:22,Agrello,0.00237,2849.36,6.753
TROY,2021-12-13 20:02:22,TROY,0.01138,2849.36,32.426
UNI,2021-12-13 20:02:22,Uniswap,15.88,2849.36,45247.837
TLM,2021-12-13 20:02:22,Alien Worlds,0.2439,2849.36,694.959
SBTC,2021-12-13 20:02:22,sBTC,49682.78,2849.36,141564126.021
CKB,2021-12-13 20:02:22,Nervos Network,0.02328,2849.36,66.333
WRX,2021-12-13 20:02:22,WazirX,1.1688,2849.36,3330.332
NFT,2021-12-13 20:02:22,APENFT,0.000003046,2849.36,0.009
MDX,2021-12-13 20:02:22,Mdex,0.4996,2849.36,1423.540
AERGO,2021-12-13 20:02:22,Aergo,0.2714,2849.36,773.316
AMP,2021-12-13 20:02:22,Amp,0.05233,2849.36,149.107
NULS,2021-12-13 20:02:22,NULS,0.8236,2849.36,2346.733
AUTO,2021-12-13 20:02:22,Auto,682.64,2849.36,1945087.110
EGLD,2021-12-13 20:02:22,MultiversX (Elrond),234.38,2849.36,667832.997
ANTOLD,2021-12-13 20:02:22,FULLNAME NOT FOUND,N/A,N/A,N/A
PUNDIX,2021-12-13 20:02:22,Pundi X (New),1.1097,2849.36,3161.935
FXS,2021-12-13 20:02:22,Frax Share,18.58,2849.36,52941.109
PLA,2021-12-13 20:02:22,PlayDapp,1.4965,2849.36,4264.067
HNST,2021-12-13 20:02:22,Honest,0.01894,2849.36,53.967
EVX,2021-12-13 20:02:22,Everex,0.6172,2849.36,1758.625
CRV,2021-12-13 20:02:22,Curve DAO Token,3.8487,2849.36,10966.332
BAKE,2021-12-13 20:02:22,BakeryToken,1.2159,2849.36,3464.537
ANT,2021-12-13 20:02:22,Aragon,4.2828,2849.36,12203.239
NU,2021-12-13 20:02:22,NuCypher,0.7551,2849.36,2151.552
FLUX,2021-12-13 20:02:22,Flux,1.852,2849.36,5277.015
ANY,2021-12-13 20:02:22,Anyswap,15.7,2849.36,44734.952
SRM,2021-12-13 20:02:22,Serum,3.8105,2849.36,10857.486
QISWAP,2021-12-13 20:02:22,FULLNAME NOT FOUND,0.1697,2849.36,483.536
TORN,2021-12-13 20:02:22,Tornado Cash,40.18,2849.36,114487.285
QNT,2021-12-13 20:02:22,Quant,199.01,2849.36,567051.134
ALICE,2021-12-13 20:02:22,MyNeighborAlice,13.55,2849.36,38608.828
OG,2021-12-13 20:02:22,OG Fan Token,40.0393,2849.36,114086.380
OM,2021-12-13 20:02:22,MANTRA,0.161,2849.36,458.747
BETH,2021-12-13 20:02:22,Beacon ETH,3779.25,2849.36,10768443.780
WETH,2021-12-13 20:02:22,WETH,3770.67,2849.36,10743996.271
PHBV1,2021-12-13 20:02:22,FULLNAME NOT FOUND,N/A,N/A,N/A
BETA,2021-12-13 20:02:22,Beta Finance,0.758,2849.36,2159.815
SSV,2021-12-13 20:02:22,ssv.network,8.9049,2849.36,25373.266
BUSD,2021-12-13 20:02:22,Binance USD,1.0,2849.36,2849.36
CTK,2021-12-13 20:02:22,Shentu,1.7498,2849.36,4985.810
ARPA,2021-12-13 20:02:22,ARPA,0.1037,2849.36,295.479
ALCX,2021-12-13 20:02:22,Alchemix,226.63,2849.36,645750.457
CTR,2021-12-13 20:02:22,Creator Platform,0.3337,2849.36,950.831
MATIC,2021-12-13 20:02:22,Polygon,1.8184,2849.36,5181.276
IOTX,2021-12-13 20:02:22,IoTeX,0.1199,2849.36,341.638
SHIB,2021-12-13 20:02:22,Shiba Inu,0.00003665,2849.36,0.104
TVK,2021-12-13 20:02:22,Virtua,0.2434,2849.36,693.534
FRONT,2021-12-13 20:02:22,Frontier,0.649,2849.36,1849.235
DOCK,2021-12-13 20:02:22,Dock,0.0621,2849.36,176.945
STX,2021-12-13 20:02:22,Stacks,1.8681,2849.36,5322.889
PNT,2021-12-13 20:02:22,pNetwork,0.8999,2849.36,2564.139
QI,2021-12-13 20:02:22,BENQI,0.1716,2849.36,488.950
DENT,2021-12-13 20:02:22,Dent,0.003526,2849.36,10.047
MBOX,2021-12-13 20:02:22,MOBOX,6.1459,2849.36,17511.882
SUB,2021-12-13 20:02:22,Substratum,0.002631,2849.36,7.497
POA,2021-12-13 20:02:22,POA Network,0.4228,2849.36,1204.709
